水仙的追迹·第一幕 藻海的寻踪
卡特皮拉: 先到这一步吧，作为热身已经足够了。
卡特皮拉: 没错，安眠处的奇异之处全部都指向了纯水精灵的能力。
卡特皮拉: 而且，这并不是安小姐的作为。这一切都说明…
派蒙: 安眠处还有一个纯水精灵？
卡特皮拉: 我的内心也有这样的猜测。「玛丽安」一定与那位纯水精灵关系匪浅。
卡特皮拉: 甚至，她或许就是…那位公主本人。
安: 你的意思是，「玛丽安」或许就是莉利丝公主？
卡特皮拉: 是的，莉利丝。当初水仙十字结社的「红女皇」，喜欢砍人脑袋的「红女皇」。
派蒙: 砍人脑袋？！
安: 我对这件事似乎也隐约有点记忆。
派蒙: 呜哇…
安: 不过并不是对这个莉利丝，而是和「玛丽安」这个名字相连的某个…童话故事。
卡特皮拉: 是的。砍人脑袋只是隐喻，因为莉利丝是纯水，所以拥有溶解抽离人之意志的能力。
卡特皮拉: 水仙十字结社用她来进行抽离自我，实现超凡入圣。
西摩尔: 针对莉利丝，有一些关键词索引到的消息。
安: 通过「红女皇」，我想起来了「玛丽安」的一些东西。
卡特皮拉: 你可以先消化一下这些新消息，问问安小姐还有西摩尔。
卡特皮拉: 看看你得出的结论，是否唤醒了什么新的记忆。

寻找线索，整理思路
安: 骑士，我想起来「玛丽安」这个名字了。
旅行者(空): 快和我说说。
旅行者(空): 是什么呢？
安: 这个名字让我熟悉，是因为它出自一个儿童故事。和「红皇后」同源。
安: 女主角利迪尔被误认为是女佣玛丽安。而玛丽安，在故事里从头到尾都不曾出场。
安: 或许，「玛丽安」从来就不存在…她只是某人梦中的幻影。
派蒙: 安是怎么知道这个故事的呢？
安: 是啊，我是怎么知道的呢？
安: 好像是比魔龙纳西索斯的故事还要亲切的记忆…

寻找线索，整理思路
西摩尔: 需要我为两位进行有关莉利丝词条的摘要吗？
旅行者(空): 好的。
旅行者(空): 谢谢，请摘要。
西摩尔: 在此略去规范引用格式，并且使用对上汇报模式重新构成输出…
西摩尔: 莉利丝是登录在册的纯水精灵之一。她无资格选择留驻枫丹外的水域，成为…
西摩尔: 枫丹的特殊情报源。她被指派成为孤儿院院长，主要作用是象征前代水神的慈爱。
西摩尔: 孤儿院的事务其实主要由人类副院长操办经营。
派蒙: 孤儿院的院长…那又是怎么和水仙十字结社扯上关系的呢？
西摩尔: 莉利丝对孩子们确实充满慈爱，但是她的智力在纯水中属于中偏下那类。
西摩尔: 她不善于理解事物的前因后果，也不会数数。因此无法胜任密探。
派蒙: 听起来像是不会数数的猫妈妈呢。
派蒙: 猫因为不会数数，所以只能一个个叼走小猫。直到最后一趟看不到猫崽了才知道已经全运走了。
西摩尔: 后在灾变时期孤儿院毁坏，她的行迹在官方记录中也再无下文。
西摩尔: 据传是无法理解灾变、孤儿们逃难以及自己作为的关系。充满自责与期待地徘徊在废墟里。
西摩尔: 我拥有水下运动模组，曾和小姐一起潜回…与安眠处空间坐标无异的孤儿院废墟。
西摩尔: 在那里确认到了忧伤徘徊的纯水精灵…
西摩尔: 再次出现于卷宗记录中时，她已经作为水仙十字结社的核心成员，成为一等通缉对象了。
派蒙: 唔，看起来不像是坏人啊。
派蒙: 考虑到或许和安还有什么关系，一定是被哄骗了吧。
西摩尔: 对了，还有一点值得注意。孤儿院的名字叫做——
西摩尔: 水仙十字院。
旅行者(空): 水仙十字…
西摩尔: 这些都是阿兰·吉约丹先生设计我时，测试光敏感录入的逐影庭卷宗。经图像转文字转语音模块输出而来。
西摩尔: 根据我对疑似莉利丝的目击情报来看，应该是没有什么问题的。
西摩尔: 另外或许您从别处也知道了这件事，但是值得一提：
西摩尔: 阿兰与玛丽安兄妹在被逐影猎人埃马纽艾尔·吉约丹收养之前，也是水仙十字院所庇护的孤儿。
旅行者(空): 谢谢你，西摩尔。
西摩尔: 请您不必客气，尊敬的。

寻找线索，整理思路
派蒙: 这么说来，感觉卡特皮拉和之前在梅洛彼得堡的样子相比，差别很大呢…
卡特皮拉: 五岁的孩童和十五岁的少年，会是同样的人吗？或许是因为回到这里让我想起了过去的事情、过去的自己吧。
卡特皮拉: 梅洛彼得堡的时间是静止的。无论是被关上一天，还是一百年，对于我而言恐怕都不会有区别。
卡特皮拉: 而让我的时间流逝的就是莉诺尔。看见她的成长，才让我意识到时间还在流逝。生命还在诞生，发出光芒，然后熄灭。
卡特皮拉: 而我也一起变了。但是，遇见她之前的我，会对我们眼下的状况，对帮助安与西摩尔的承诺更有用处。
派蒙: 是喔…
卡特皮拉: 哈哈，别这样嘛，派蒙。你想，编故事讲给莉诺尔听，也只不过是让这种思考习惯派上用场罢了。
卡特皮拉: 无论如何，这些事情和眼下的状况无关。，看你的表情，你应该有些想问的问题吧。
卡特皮拉: 既然我们都有一些对于安小姐和莉利丝关系的猜想，我们就有话题可以互相驳斥或者互相支持。
旅行者(空): 纯水精灵是如何繁衍的？
卡特皮拉: 你应该有更多博识的朋友，或者你应该有办法去找最严谨的自然哲学研究者。
卡特皮拉: 或者你可以直接问认识的纯水精灵，但是你问了我。
卡特皮拉: 我当然明白你的意思。这就是你的猜测吗？我明白了。
派蒙: 我…我不明白。
卡特皮拉: 我们之前交换情报的时候，提过，安是「玛丽安」的梦中人。
卡特皮拉: 或许安是「玛丽安」具现出来的纯水纯水精灵。
派蒙: 纯水纯水精灵…是什么为了可爱的反复吗？
卡特皮拉: 呃，原谅我表述不当。纯水精灵，能幻化出纯水动物版的纯水精灵吗？
派蒙: 哇，这个问题好哲学。就像是能不能用夹心糖来做夹心糖里面的心一样。
派蒙: 唔，那么答案是什么呢？因为这个问题太神奇了，让人很好奇。
旅行者(空): 不得不说…
旅行者(空): …确实。
卡特皮拉: 但是你不知道魔道的疯狂，所以请由我来为你解释吧。
旅行者(空): 请和我说吧。
卡特皮拉: 「安眠处」拥有人格的纯水动物或许会让你有所疑惑——
卡特皮拉: 纯水精灵既然能幻化出纯水动物，那么它能幻化出纯水人或者纯水纯水精灵吗？
卡特皮拉: 常理来说，幻化出人也是很少见的情况。除非人溺死在纯水的胸怀中，或者这名纯水事无巨细地与这人相处。
卡特皮拉: 这对纯水精灵的智力以及同理心要求也非常之高。恐怕只有王牌洛蒂娅一系能勉强办到吧。
派蒙: 原来伊迪娅这么厉害啊…
卡特皮拉: 所以幻化为人虽然少见，但是并非不可能。但是幻化同类就不一样了。
卡特皮拉: 至少这个世界里，以人之智识造人是神一般的功业。纯水精灵幻化纯水精灵也是一个道理。通常来说是不可能的。
卡特皮拉: 除非，除非这个人或者纯水已经把自己摆到了超越自己族群的位置，尝试了如此疯癫的行为。
派蒙: 以为，自己成为了神吗？
卡特皮拉: 没错。教众长期盲信首领，首领长期盲信自己，于是而生出了谵妄与幻觉。
卡特皮拉: 「神之作为，也无不可。神之功业，也并不那般伟大。」
卡特皮拉: 但是，强烈的相信就是强大的意志。魔法就是用意志改变现实的技法。
旅行者(空): 或许后代的假设更合理。
旅行者(空): 或许「玛丽安」的自我认知不是纯水？
卡特皮拉: 或许吧，或许吧。我明白，我也明白。
卡特皮拉: 至少我知道的莉利丝既无这样的智力，也没有这样的疯狂。
卡特皮拉: 至于纯水精灵的繁衍，我有些不同于主流结论的想法。不过这些不重要，有机会再说吧。
旅行者(空): 我先和别人聊聊。
卡特皮拉: 我明白了。

与卡特皮拉对话
旅行者(空): 安眠处的「玛丽安」…
派蒙: 现在所有的疑点都指向她了。
卡特皮拉: 其实如果用上排除法，你内心早就大概有个推断了吧。
旅行者(空): 但是那样对安很不尊重。
卡特皮拉: 你说的很对。但是你心中，也有一版故事了吧？一版属于自己的诠释。
卡特皮拉: 既然如此，我们就去找那个「玛丽安」看看吧。
西摩尔: 所以，请允许岔开一下话题。
西摩尔: 这是否意味着，结论上来说，我再也无法完成保护玛丽安小姐的指令了？
派蒙: 我们推理了这么多，你就只关注这一环吗？
派蒙: 唔，虽然很残酷，但是知晓吉约丹兄妹是数百年之前之人的那一刻起就注定了吧…
西摩尔: 订正一下。所以，结论上来说，是因为我的无能，导致了玛丽安小姐的遇险吗？
安: 不必太过自责了。你都已经战斗到损坏了，你已经做得够好了。
卡特皮拉: 你也一样不必太过悲观。虽然对着机器说这话非常奇怪就是了。
派蒙: 是哦，就像是对着洗手池倒枫达然后说「洗手池，这样喝下去会变胖的！」
卡特皮拉: 4ACV07啊。
旅行者(空): 你居然能记清…
西摩尔: 什么事情，卡特皮拉先生？居然值得你使用我的正式称呼。
卡特皮拉: 我们刚才虽然没有得到结论，但是至少明确了下一步的行动。
卡特皮拉: 你看，在安眠处那里也存在着一位「玛丽安」，也与水仙十字结社有着千丝万缕的联系。
西摩尔: 我的长期记忆单元表示确有这件事。
卡特皮拉: 所以现在还不是把你的逻辑程序推进到恢复出厂设定的时候，回退一步吧。
卡特皮拉: 我们还是可以继续一起寻找「玛丽安」的。
西摩尔: …
西摩尔: 谢谢您的逻辑排障与…情感疏导。
西摩尔: 我认为…您，您说的有道理。还不到确认失败、返回初始设定、等待新任务的时候。
安: 嗯嗯，这就对了笨狗狗！
卡特皮拉: 先在这里暂停一下吧。等你做好准备，我们再开始下一步。
卡特皮拉: 我们一起去见一下那个「玛丽安」，如何？
卡特皮拉: 在我们解决水仙十字结社的问题之前，先解决这个谜团吧。
旅行者(空): 嗯，我也这么认为。
安: 嗯嗯，我也很关心这个问题。毕竟也关乎我的起源。
西摩尔: 逻辑模块也认为这么做没有问题。
旅行者(空): 啊，童话水世界…
卡特皮拉: 怎么了，看起来你在那里遇到了什么事情？
安: 哎呀，只是因为骑士所共鸣的水元素，在那里经常遇到免疫的情况罢了。
派蒙: 感觉和西摩尔接触之后，安觉醒了不得了的本性…
西摩尔: 是权责复盘环节吗？我认为责任不在我，因为我仅掌握危急时刻越权保护的权力。
安: 骑士，不要担心。这次我们一定要让「玛丽安」把话说明白。
安: 那我们就出发吧。

前往指定地点
派蒙: 呜啊，怎么这些东西又跑出来了！
派蒙: 不对，这不是阿尔他们吗？
阿尔: 啵啵啵啵，没错是我们。这不是…骑士和派蒙吗？
阿尔: 见到你们真好。好到我控制不住我自己了。麻烦你们能躲尽量躲一下吧。
雅克: 她让我们带一句话。我要用我黄色白色一样的手掏出她的亲笔信了，咳咳——
雅克: 「我不想听你们的故事，我更喜欢我自己的版本。」

前往指定地点
旅行者(空): 我明白了，出发吧。
卡特皮拉: 封印总共有四处。如果我的推想没有错，那应该分别在这些地方…
派蒙: 咦？这四个地方…
旅行者(空): 我们冒险的时候去过一部分。
卡特皮拉: 这样啊。有什么收获吗？
？？？: 描述了冒险的情况。
卡特皮拉: …我明白了。这说明了两件事。第一，我的推想没有错。
派蒙: 另一件事呢？
卡特皮拉: 第二，情况有些严峻。我们赶紧动身，看看还有没有扳回一城的余地吧。

与大家对话
派蒙: 唔，这里之前的泡泡也不见了。
安: 毕竟是「莉利丝公主的魔法」…故事的设定是这样的。
卡特皮拉: 让我来想想办法吧。
卡特皮拉: 现在你们闭上眼睛。
西摩尔: 暂时关闭光学传感器是吗。明白。将会在收到指令后重启光学传感。
派蒙: 为什么要闭上眼睛啊。
卡特皮拉: 默剧的精髓就是假装，假装这里还存在着什么东西。
卡特皮拉: 魔法的核心就是相信，相信着这里存留有意义。所以闭上眼睛吧。
卡特皮拉: 所以安，开始想象这里还有那个泡泡的景象吧。
？？？: 闭上眼睛后，你感受到了一阵涟漪般的波动…
？？？: 「我还是更喜欢『水仙十字冒险团』的时间结束以后，大家开心地吃茶点的故事…」
派蒙: 真的出现了！
卡特皮拉: 水仙十字结社把事无巨细地想象一件事物的步骤称之为「显像」。
派蒙: 我们快上去看看吧。

进入「泡泡」
旅行者(空): 说说你之前的事吧。
卡特皮拉: 啊，在我们分头调查的这段时间里，你该不会顺路去拯救了一次世界吧？
卡特皮拉: 那确实发生了很多事情，也难怪你会不记得我们一起经历的故事。
卡特皮拉: 开个玩笑。或许你只是累了，或者只是一瞬间想不起来。
卡特皮拉: 简而言之，之前我们在梅洛彼得堡相遇。你们帮助我从里面救出了莉诺尔。
卡特皮拉: 现在轮到我来帮助你们了。

与大家对话
派蒙: 怎么这次是入口消失了！
派蒙: 安，你有办法把那个传送门再…再…再「显像」出来吗？
安: 嗯，再让我试试吧。
？？？: 闭上眼睛后，你感受到了充满落寞的沉寂…
？？？: 「可是，所有人都离开了这里。我再也等不到他们回来了…」
安: 好像，办不到了…
派蒙: 怎么会这样？
派蒙: 那要怎么见到「玛丽安」啊？
卡特皮拉: 应该是因为，传送门的意义消失了。所以无法重现吧。
安: ……
卡特皮拉: 之前听过你们讲述在这里的经历。曾经放在这里的入口，是通往尚未写完的故事。
卡特皮拉: 如今对她而言该说的已经说完，故事已经不再具备意义。「玛丽安」在抗拒我们的答案。所以前进的门扉也合上了。
派蒙: 我们要这样无功而返了吗？
卡特皮拉: 看起来是这样的。
旅行者(空): 还是有些收获的。
安: 骑士观察到了什么没人注意到的细节吗？
旅行者(空): 在安进行想象时，我听到了一些声音。
安: 原来你也能听到吗？我确实也听到了一些话。
安: 它们是不是就是「玛丽安」的真实想法？
卡特皮拉: 你们听到了什么？
卡特皮拉: 啊，在这里讨论其人本身的私密事情不太好，或许隔墙有耳呢。我们还是回去说吧。

与大家对话
卡特皮拉: 所以你们能说说听到了什么吗？
卡特皮拉: 可能就像是狗和人能听到的声音频率不一样，丘丘人能听到的东西终究和人还有纯水精灵不同。
西摩尔: 我必须得纠正您的说法，我的听觉组件确实低音与高音频率都超过人类。但是我不是狗，狗的低音听力也接近人类。
卡特皮拉: 是吗，可是我说的真的是狗不是你4ACV07。
安: 哈哈，笨狗！
安: 不过我真的没想到，骑士居然也能听到。不知道我们听到的是不是一样的。
旅行者(空): 「可是，所有人都离开了这里…」
安: 「…我再也等不到他们回来了。」
安: 看起来我们听到的东西都是一样的。应该是「玛丽安」漏出来的心声吧。
卡特皮拉: 还有其他的心声吗？并不是我喜欢窥视隐私，只是提到这些话也能算是一些收获。
安: 我想想，后面应该还提到了「我还是更喜欢『水仙十字冒险团』的冒险结束以后，大家开心地吃茶点的故事…」
安: 还有就是…
安: 「我不想听你们的故事，我更喜欢我自己的版本。」
卡特皮拉: …，你是不是也察觉到了一点不对？
西摩尔: 请说明。
卡特皮拉: 让我们各自再整理一下想法吧。或许真的可以从中得出一些结论。

准备好后，与卡特皮拉对话
卡特皮拉: 藻海中飘荡着匣子的碎片，我们将它拼在了一起。
卡特皮拉: 如今我们打开了拼好的匣子，内里虽然空无一物。但是我们最终知道了…
卡特皮拉: ——丢失的珍珠理应是什么模样。
派蒙: 唔，卡特皮拉这句话是什么意思？
派蒙: 不要提示我，我自己来理解一下：
派蒙: 我们通过线索拼凑出了一个推测。但是最后的真相还…还有待证实？
西摩尔: 肯定。我的语言分析模块认为派蒙小姐说的对。
卡特皮拉: 其实这段话的意思是我们可能永远无法知道真相了。但是恐怕我们只能接受这个推测了。
安: 骑士，在你看来，这就是关于我的诞生秘密吗？
安: 这个结论…让我一时之间有点难以接受…
卡特皮拉: 我能理解你，安小姐。这是一个需要重新接受自己的冲击性事实。
卡特皮拉: 但是我觉得它并没有那么难以接受。因为你知晓自己的前尘往事而活，并不意味着你要抛弃现在的一切。
西摩尔: 我并不能理解具体的讨论的语境。不过我认为磁盘损坏前的我和如今的我并无区别。
西摩尔: 尽管安小姐坚持称呼我为「笨狗」。但是识别码依旧为4ACV07。
安: 也没有到这么严重的地步啦。我和骑士保证过，只要合理，我就接受这个结论。
卡特皮拉: 既然这样，我有一个提议。既能解决安小姐的问题，也能顺手阻止纳齐森科鲁兹的计划。
安: 纳齐森科鲁兹…
派蒙: 纳齐森…啊，我想起来了，之前卡特皮拉提到过这个人。他到底是谁呀？
卡特皮拉: 这个嘛。简单来说，就是水仙十字结社的领袖。
派蒙: 欸？！原来是这么厉害的人吗？不过水仙十字结社感觉干的都是坏事…所以是很坏的坏人吧？
西摩尔: 肯定。在随我的主人、制造者，以及其他逐影猎人行动的时间里，有较大占比的时间都致力于追捕水仙十字结社。
西摩尔: 如先前所说，厄里那斯的行动目标也是捉拿或消灭纳齐森科鲁兹。但我的记忆体中并没有当时目击此人参与的情报。
卡特皮拉: 当然了。现在回想起来，他不过是用我们当诱饵罢了。不只是我，还有雅各布、莉利丝与许多其他的结社成员。
卡特皮拉: 厄里那斯的行动恐怕至始至终只不过是所谓的「红鲱鱼」而已，目的是将你和吉约丹一行引开，让他有推行自己真正计划的时间。
卡特皮拉: 你们还记得我提到过的末日时钟吧。
派蒙: 好像是说，这个是水仙十字结社认为的世界末日倒计时来着？
卡特皮拉: 准确地说，是根据「世界式」推算出的末日。这颗星球应该还会继续运转下去吧…
卡特皮拉: 「群星之兽会将世界的胎水饮尽。在那之后又是百年，地表所有的生命都将被抹去。」
西摩尔: 地表的生命被抹去后，只剩下水下的世界。变成了全是鱼的星球，有朝一日可以驶向星海吗？
派蒙: 虽然陆地生物灭绝了很吓人，但是这句话还有点浪漫欸…
西摩尔: 是前几年的八重堂轻小说标题。以前玛梅赫为了学画画，捡了一本回村子。
派蒙: 这、这样哦。
卡特皮拉: 话说回来吧。尽管水仙十字结社是我们在场所有人的苦难的源头。
卡特皮拉: 但是结社的目的、纳齐森科鲁兹其人的最高行动宗旨，却是十分无私的。
卡特皮拉: 他计算出了世界末日，并想拯救世界，才做出如此行动。
安: 那么世界是不是真的快要被毁灭了呢？
西摩尔: 我觉得应该是由偏执引发的病理性幻觉。
卡特皮拉: 如果世界末日是真的，你们就能原谅纳齐森科鲁兹了吗？
卡特皮拉: 不了。我这个问题有些太早了。安你也并不明白自己身上究竟发生了什么。
卡特皮拉: 对西摩尔来说，它的敌意行为也是程序设计出的职责所在。
卡特皮拉: 所以，我们要去寻找水仙十字圣剑。
旅行者(空): 水仙…十字圣剑？
卡特皮拉: 当然，我是说真实的那个。不过这么说一个魔法结社的仪式剑真实也很奇怪。
卡特皮拉: 只要有了它，我们不仅可以阻止纳齐森科鲁兹的计划，因为它的特殊力量，或许可以逆转意志的融合。
卡特皮拉: 这样就可以把莉利丝与玛丽安分开来了。安小姐，你就可以打倒邪龙纳西索斯，拯救莉利丝公主了。
旅行者(空): 无论怎么样…
旅行者(空): …先行动起来再说吧。
卡特皮拉: 正是这种精神。解释起来可能会有点长，我们现在就动身吧。到了地方我再解释。

跟随卡特皮拉的指引，前往指定地点
卡特皮拉: 今天大气的能见度还可以…总之你能望到那边的塔吧。
旅行者(空): 能看到。
旅行者(空): 以前路过过。
卡特皮拉: 那座塔水仙十字结社给的名字叫做「自体自身之塔」。不过后来我们都叫它「格式塔」。
卡特皮拉: 分离的事物组合在一起才彰显出其本来、完全的形式。
卡特皮拉: 不过我这么说似乎说反了。心的本来存在就是整体的，分开来分析研究才是错误的。
派蒙: 完全听不懂！
卡特皮拉: 不必在意。玩弄文字也是神秘结社常用的手段罢了。重要的是接下来要做的事。
西摩尔: 一部分词汇无法在语义网找到索引，所以我并不理解你的发言。
西摩尔: 但是我理解最后一句话。请说吧，我应该做什么。
卡特皮拉: 我在独自调查的时候，找出来了密合之印的地图。你们就理解为我找到了四个封印吧。
安: 所以有一处就是这个塔吗？
卡特皮拉: 要去的地方并不在那里。不过谁说得准呢。或许未来我们的命运就和这座塔交汇了。
卡特皮拉: 只是其余四处地方需要由这座塔来定位，所以我们先来到了这里。
派蒙: 那这四处封印有什么作用呢？
派蒙: 唔，不过根据我和的经验，把封印打烂最后把罪魁祸首打一顿一般都是有益的。
卡特皮拉: 我想要复原水仙十字的圣剑。
旅行者(空): 好耶，新武器！
卡特皮拉: 仪式用的意义更大一些，不过应该也能当武器吧…
旅行者(空): 水仙十字的圣剑？
卡特皮拉: 或者，我们就直接叫它「答案」吧。
卡特皮拉: 我以前说过，水仙十字结社曾经有斩去自我和意志的仪式。
卡特皮拉: 而这些仪式就会使用到圣剑。
旅行者(空): 确实有这么回事来着…
卡特皮拉: 如果说，莉利丝与玛丽安的意志诞生了安；如果说，某个丘丘人的身体里被装入了从前的我…
安: 啊！
派蒙: 唔…这么说来，我们之前不是已经找到了水仙十字圣剑吗？
卡特皮拉: 什么？还有这种事？
派蒙: 你看！
西摩尔: 是木剑。
安: 是我们冒险中找到的木剑。
卡特皮拉: 嗯嗯，原来是木剑。
旅行者(空): ……
派蒙: 喂！这是什么反应嘛！
卡特皮拉: 但是也可以这么想。那是在水仙十字院找到的，名为「水仙十字圣剑」的木剑，那它的意义就超出了一般的木剑。
卡特皮拉: 或许能够派上用场吧。等时机来临。就像故事中的圣剑一样呢。
派蒙: 真的吗？不用安慰我们也行…

与大家对话
旅行者(空): 我明白了，出发吧。
卡特皮拉: 总之，假定我对着地图旋转的角度正确的话，我们就能在这个地方附近找到其中一处封印的入口。

与派蒙对话
派蒙: 结果我们落到了那个什么格式塔的顶端。
派蒙: 和卡特皮拉、安还有西摩尔它们分开了…
派蒙: 怎么办呢？看起来往下走就是个陷阱。
旅行者(空): 还不严峻，看看风景吧。
旅行者(空): 还不危险，数数质数吧。
派蒙: 可不能没有紧张感啊。
派蒙: 虽然我知道你打架很厉害啦，但是我还是担心其他人。
派蒙: 事到如今没有办法，只能往下走了…唔，那里就是入口吧？
派蒙: 反正陷阱什么的，打烂它就好！

与雅各布对话
雅各布: 我担心大师设计的钟会不会在紧要关头出问题，特地过来维护。
雅各布: 我都上完一套除锈与润滑了，你们怎么才下来啊。
派蒙: 这个声音是刚才的那个！你是那个…呃…
派蒙: 紫色人！
雅各布: …我明明说过，叫我雅各布就好。
旅行者(空): 你是怎么设置的陷阱？
雅各布: 我认为「人格」之块是最为重要的一部分，那里放置的是纳齐森科鲁兹大师自己切下的人格。
雅各布: 所以只有纯水精灵的一滴才能开启。我不能允许这一块被无知的冒险家拿走。
雅各布: 所以我在启动象限，封闭空间之前就设下了陷阱。
旅行者(空): 你为什么会在这里？
雅各布: 怎么了？这里本来就是水仙十字结社的根据地，我回到这里有什么问题吗？
雅各布: 倒是你们随意使用这里，心里没有一点违反人之法律的愧疚吗？
雅各布: 「这里本来就是天父的雄邦，如今王座上坐着的却是雉鸡」。和如今的世界一样。
雅各布: 作为赔偿，把你们手上的最后的颜料，我需要的「人格」交出来吧。
旅行者(空): 我拒绝。
雅各布: 都这个时间了，你还在坚持什么有的没的。
雅各布: 世界的毁灭已经在倒计时了。我必须把圣剑锻造出来，将其送到大师的手上。
派蒙: 你说的大师是纳齐森科鲁兹吗？
雅各布: 正是。根据他的「世界式」计算，再过片刻第二次涨水就会到来。那时只有他能够拯救世界。
雅各布: 唯有铸造出圣剑，他才能继续未竟的事业。将全枫丹、甚至是全大陆全星球的人类意志融于自身。
雅各布: 在原初大海重新归来、吞吃星辰者让天幕黯淡时，唯有自体自身的他可以存活。
雅各布: 而那时，我们所有人，不，全人类的灵魂才可以躲过毁灭。在他赐予的无罪宁静之海中，我们迎来黎明。
派蒙: 原来这就是你们的拯救世界计划吗？
派蒙: 听起来只是没有征得同意就把所有人的意识绑架在一起而已。
雅各布: 你懂什么。第二次涨水到来的时候，只有水仙十字大师的新躯体可以存活下来。
雅各布: 就算所有生命消失了，他也可以独自活着。就算这样，他仍然挂念着众生。
雅各布: 他承认了所有生命的平等与价值。这种无私不是你可以诋毁的。
旅行者(空): 那么他现在在哪里呢？
雅各布: 就在此地的至深之处。当年枫丹的鹰犬围剿我们，大师他一个人落入了此处下方的深潭里。
雅各布: 但是他一定还活着，而且归来的时候已经到了。
雅各布: 快点把你手头的东西交出来，这样我就凑齐所有的象限了。然后你们就可以离开了。
